id,name,code,user_type_id/id,reconcile,chart_template_id/id
he_thong_tai_khoan0,HỆ THỐNG TÀI KHOẢN,0,account.data_account_off_sheet,0,vn_template
tai_san_ngan_han1,TÀI SẢN NGẮN HẠN,1,account.data_account_off_sheet,0,vn_template
tien_mat111,Tiền mặt,111,account.data_account_off_sheet,0,vn_template
tien_ngan_hang112,Tiền gửi Ngân hàng,112,account.data_account_off_sheet,0,vn_template
transfer_account_id,Tiền đang chuyển,113,account.data_account_type_current_assets,1,vn_template
vn_template_liquidity_transfer,Tiền đang chuyển,1131,account.data_account_type_current_assets,1,vn_template
chung_khoan_kinh_doanh121,Chứng khoán kinh doanh,121,account.data_account_off_sheet,0,vn_template
chart1211,Cổ phiếu,1211,account.data_account_type_current_assets,0,vn_template
chart1212,"Trái phiếu, Tín phiếu, Kỳ phiếu",1212,account.data_account_type_current_assets,0,vn_template
chart1218,Chứng khoán và công cụ tài chính khác,1218,account.data_account_type_current_assets,0,vn_template
dau_tu_den_ngay_dao_han128,Đầu tư nắm giữ đến ngày đáo hạn,128,account.data_account_off_sheet,0,vn_template
chart1281,Tiền gửi có kỳ hạn,1281,account.data_account_type_current_assets,0,vn_template
chart1282,Trái phiếu có kỳ hạn,1282,account.data_account_type_current_assets,0,vn_template
chart1283,Cho vay,1283,account.data_account_type_current_assets,0,vn_template
chart1288,Các khoản đầu tư khác nắm giữ đến ngày đáo hạn,1288,account.data_account_type_current_assets,0,vn_template
chart131,Phải thu của khách hàng,1311,account.data_account_type_receivable,1,vn_template
chart132,Phải thu của khách hàng (POS),1312,account.data_account_type_receivable,1,vn_template
thue_duoc_khau_tru133,Thuế GTGT được khấu trừ,133,account.data_account_off_sheet,0,vn_template
chart1331,"Thuế GTGT được khấu trừ của hàng hoá, dịch vụ
        ",1331,account.data_account_type_current_assets,0,vn_template
chart1332,Thuế GTGT được khấu trừ của TSCĐ,1332,account.data_account_type_current_assets,0,vn_template
phai_thu_noi_bo136,Phải thu nội bộ,136,account.data_account_off_sheet,0,vn_template
chart1361,Vốn kinh doanh ở đơn vị trực thuộc,1361,account.data_account_type_current_assets,0,vn_template
chart1362,Phải thu nội bộ về chênh lệch tỷ giá,1362,account.data_account_type_current_assets,0,vn_template
chart1363,Phải thu nội bộ về chi phí đi vay đủ điều kiện được vốn hoá,1363,account.data_account_type_current_assets,0,vn_template
chart1368,Phải thu nội bộ khác,1368,account.data_account_type_current_assets,0,vn_template
phai_thu_khac138,Phải thu khác,138,account.data_account_off_sheet,0,vn_template
chart1381,Tài sản thiếu chờ xử lý,1381,account.data_account_type_current_assets,0,vn_template
chart1385,Phải thu về cổ phần hoá,1385,account.data_account_type_current_assets,0,vn_template
chart1388,Phải thu khác,1388,account.data_account_type_current_assets,0,vn_template
chart141,Tạm ứng,141,account.data_account_type_current_assets,0,vn_template
chart151,Hàng hóa mua đang đi trên đường,151,account.data_account_type_current_assets,0,vn_template
chart152,"Nguyên liệu, vật liệu",152,account.data_account_type_current_assets,0,vn_template
con_cu_dung_cu153,"Công cụ, dụng cụ",153,account.data_account_off_sheet,0,vn_template
chart1531,"Công cụ, dụng cụ",1531,account.data_account_type_current_assets,0,vn_template
chart1532,Bao bì luân chuyển,1532,account.data_account_type_current_assets,0,vn_template
chart1533,Đồ dùng cho thuê,1533,account.data_account_type_current_assets,0,vn_template
chart1534,"Thiết bị, phụ tùng thay thế",1534,account.data_account_type_current_assets,0,vn_template
chart154,Chi phí sản xuất kinh doanh dở dang,154,account.data_account_type_current_assets,0,vn_template
thanh_pham155,Thành phẩm,155,account.data_account_off_sheet,0,vn_template
chart1551,Thành phẩm nhập kho,1551,account.data_account_type_current_assets,0,vn_template
